,Close,Volume,S&P Returns,TermSpread,VIX_t-1,VIX_t-5,VIX_t-22,S&P Returns_t-1,Volume_t-1,TermSpread_t-1
1993-02-19,15.020000457763672,310700000.0,0.005371630833536978,2.16,15.5600004196167,14.457999992370606,12.764090884815563,-0.003231003775502783,311180000.0,2.2199999999999998
1993-02-22,14.699999809265137,311570000.0,0.0023490143494182547,2.0999999999999996,15.020000457763672,14.92400016784668,12.89863634109497,0.005371630833536978,310700000.0,2.16
1993-02-23,15.039999961853027,329060000.0,-0.0010109421268236218,2.02,14.699999809265137,15.388000106811523,13.014545440673828,0.0023490143494182547,311570000.0,2.0999999999999996
1993-02-24,14.720000267028809,316750000.0,0.01396045881930652,2.0399999999999996,15.039999961853027,15.244000053405761,13.166818185286088,-0.0010109421268236218,329060000.0,2.02
1993-02-25,13.760000228881836,252860000.0,0.0033343190441263992,2.08,14.720000267028809,15.00800018310547,13.322272734208541,0.01396045881930652,316750000.0,2.0399999999999996
1993-02-26,13.15999984741211,234160000.0,0.002351151949929964,2.1100000000000003,13.760000228881836,14.648000144958496,13.430454557592219,0.0033343190441263992,252860000.0,2.08
1993-03-01,13.600000381469727,232460000.0,-0.003089889264513812,2.0600000000000005,13.15999984741211,14.276000022888184,13.508181832053445,0.002351151949929964,234160000.0,2.1100000000000003
1993-03-02,12.489999771118164,269750000.0,0.013325454176891904,2.0700000000000003,13.600000381469727,14.056000137329102,13.580454566261984,-0.003089889264513812,232460000.0,2.0600000000000005
1993-03-03,13.130000114440918,277380000.0,0.003036427523271934,2.07,12.489999771118164,13.546000099182129,13.600909103046764,0.013325454176891904,269750000.0,2.0700000000000003
1993-03-04,13.4399995803833,234220000.0,-0.0042737243155384075,2.08,13.130000114440918,13.228000068664551,13.633181832053445,0.003036427523271934,277380000.0,2.07
1993-03-05,14.079999923706055,253480000.0,-0.0027496110260596396,1.9900000000000002,13.4399995803833,13.163999938964844,13.68363636190241,-0.0042737243155384075,234220000.0,2.08
1993-03-08,16.219999313354492,275290000.0,0.019277770921756643,1.8799999999999994,14.079999923706055,13.347999954223633,13.766818176616322,-0.0027496110260596396,253480000.0,1.9900000000000002
1993-03-09,14.170000076293945,290670000.0,-0.000681747849000991,1.8900000000000006,16.219999313354492,13.871999740600586,13.953181786970658,0.019277770921756643,275290000.0,1.8799999999999994
1993-03-10,13.90999984741211,255610000.0,0.004247343093540801,1.92,14.170000076293945,14.207999801635742,14.038636337627064,-0.000681747849000991,290670000.0,1.8900000000000006
1993-03-11,14.260000228881836,257060000.0,-0.005719513133834342,1.9500000000000002,13.90999984741211,14.36399974822998,14.084545438939875,0.004247343093540801,255610000.0,1.92
1993-03-12,15.65999984741211,255420000.0,-0.008573601864523717,2.0,14.260000228881836,14.527999877929688,14.131818164478648,-0.005719513133834342,257060000.0,1.9500000000000002
1993-03-15,14.739999771118164,195930000.0,0.003556912947728863,2.0700000000000003,15.65999984741211,14.843999862670898,14.230909087441184,-0.008573601864523717,255420000.0,2.0
1993-03-16,14.510000228881836,218820000.0,-0.00013290556579570456,2.04,14.739999771118164,14.547999954223632,14.290454517711293,0.003556912947728863,195930000.0,2.0700000000000003
1993-03-17,14.529999732971191,241270000.0,-0.006779355277701349,2.0399999999999996,14.510000228881836,14.615999984741212,14.373181819915771,-0.00013290556579570456,218820000.0,2.04
1993-03-18,14.170000076293945,241180000.0,0.007985583880216307,2.0199999999999996,14.529999732971191,14.739999961853027,14.470909075303512,-0.006779355277701349,241270000.0,2.0399999999999996
1993-03-19,13.229999542236328,339660000.0,-0.003784155252880783,2.0,14.170000076293945,14.72199993133545,14.39863634109497,0.007985583880216307,241180000.0,2.0199999999999996
1993-03-22,13.65999984741211,233190000.0,-0.0028877067264626577,2.04,13.229999542236328,14.235999870300294,14.277272701263428,-0.003784155252880783,339660000.0,2.0
1993-03-23,13.020000457763672,232730000.0,-0.00026732114570093835,2.0300000000000002,13.65999984741211,14.019999885559082,14.190909038890492,-0.0028877067264626577,233190000.0,2.04
1993-03-24,12.4399995803833,274300000.0,-0.0015375756003005447,2.02,13.020000457763672,13.72199993133545,14.0999999479814,-0.00026732114570093835,232730000.0,2.0300000000000002
1993-03-25,12.079999923706055,251530000.0,0.006271335980228887,2.0600000000000005,12.4399995803833,13.303999900817871,13.997272664850408,-0.0015375756003005447,274300000.0,2.02
1993-03-26,12.210000038146973,226650000.0,-0.006875457039443034,2.0700000000000003,12.079999923706055,12.885999870300292,13.862727208571,0.006271335980228887,251530000.0,2.0600000000000005
1993-03-29,12.630000114440918,199970000.0,0.006677364425669019,2.1099999999999994,12.210000038146973,12.681999969482423,13.748636289076371,-0.006875457039443034,226650000.0,2.0700000000000003
1993-03-30,12.229999542236328,231190000.0,0.002662138643384493,2.1099999999999994,12.630000114440918,12.476000022888183,13.697272647510875,0.006677364425669019,199970000.0,2.1099999999999994
1993-03-31,12.529999732971191,279190000.0,-0.0006637338587927033,2.0700000000000003,12.229999542236328,12.317999839782715,13.654999906366522,0.002662138643384493,231190000.0,2.1099999999999994
1993-04-01,13.020000457763672,234530000.0,-0.003033244612296593,2.1199999999999997,12.529999732971191,12.335999870300293,13.606363513252951,-0.0006637338587927033,279190000.0,2.0700000000000003
1993-04-02,14.5,323330000.0,-0.01978674969146954,2.17,13.020000457763672,12.523999977111817,13.63045445355502,-0.003033244612296593,234530000.0,2.1199999999999997
1993-04-05,14.119999885559082,296080000.0,0.0020389992220399833,2.17,14.5,12.981999969482422,13.692727175625889,-0.01978674969146954,323330000.0,2.17
1993-04-06,14.239999771118164,293680000.0,-0.0025548957945716877,2.15,14.119999885559082,13.279999923706054,13.723636280406605,0.0020389992220399833,296080000.0,2.17
1993-04-07,13.640000343322754,300000000.0,0.003558816101155937,2.14,14.239999771118164,13.681999969482423,13.73090900074352,-0.0025548957945716877,293680000.0,2.15
1993-04-08,12.829999923706055,284370000.0,-0.002010287593684268,2.1199999999999997,13.640000343322754,13.904000091552735,13.613636320287531,0.003558816101155937,300000000.0,2.14
1993-04-12,11.930000305175781,259690000.0,0.014779102918295317,2.1,12.829999923706055,13.865999984741212,13.552727222442627,-0.002010287593684268,284370000.0,2.1199999999999997
1993-04-13,11.699999809265137,286690000.0,0.001895769370770406,2.11,11.930000305175781,13.352000045776368,13.462727243250066,0.014779102918295317,259690000.0,2.1
1993-04-14,11.760000228881836,257340000.0,-0.0012465997886826896,2.1200000000000006,11.699999809265137,12.868000030517578,13.346363587812943,0.001895769370770406,286690000.0,2.11
1993-04-15,10.960000038146973,259500000.0,-0.0005795251716281813,2.09,11.760000228881836,12.372000122070313,13.16909087787975,-0.0012465997886826896,257340000.0,2.1200000000000006
1993-04-16,11.289999961853027,305160000.0,0.0012043009640327895,2.09,10.960000038146973,11.836000061035156,12.99727270819924,-0.0005795251716281813,259500000.0,2.09
1993-04-19,12.0600004196167,244710000.0,-0.0032966787951165255,2.0900000000000003,11.289999961853027,11.52800006866455,12.850909059697932,0.0012043009640327895,305160000.0,2.09
1993-04-20,11.9399995803833,317990000.0,-0.005274181818777035,2.0900000000000003,12.0600004196167,11.554000091552734,12.738636363636363,-0.0032966787951165255,244710000.0,2.0900000000000003
1993-04-21,12.109999656677246,287300000.0,-0.0033026313200302804,2.0900000000000003,11.9399995803833,11.602000045776368,12.637272704731334,-0.005274181818777035,317990000.0,2.0900000000000003
1993-04-22,12.680000305175781,310390000.0,-0.009399755160465095,2.0999999999999996,12.109999656677246,11.67199993133545,12.586363619024103,-0.0033026313200302804,287300000.0,2.0900000000000003
1993-04-23,13.359999656677246,259810000.0,-0.005529496934943756,2.1399999999999997,12.680000305175781,12.01599998474121,12.541818185286088,-0.009399755160465095,310390000.0,2.0999999999999996
1993-04-26,15.25,283260000.0,-0.007985699480866693,2.1500000000000004,13.359999656677246,12.429999923706054,12.557272694327615,-0.005529496934943756,259810000.0,2.1399999999999997
1993-04-27,13.930000305175781,284140000.0,0.010310469928036525,2.1399999999999997,15.25,13.067999839782715,12.684999986128373,-0.007985699480866693,283260000.0,2.1500000000000004
